"GISJOIN","CBSA","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"G19980","Dodge City, KS Micro Area",-8327,259,405,-72,-41,2578,5637
"G20020","Dothan, AL Metro Area",-2814,1240,1,503,15,982,5441
"G20060","Douglas, GA Micro Area",-1882,449,110,-12,-9,-147,2138
"G20100","Dover, DE Metro Area",-2311.24000000001,8085.11,106,1123.14,34,2422.99,10084.14
"G20140","Dublin, GA Micro Area",-1674,551,6,36,22,174,1230
"G20180","DuBois, PA Micro Area",-2824.06,44,-4.01000000000001,60.99,-16,-109,1763.01
"G20220","Dubuque, IA Metro Area",222,1640,83,150,541,560,2417
"G20260","Duluth, MN-WI Metro Area",-10834.3,1611,107.37,44,21,1041,8973.93
"G20300","Dumas, TX Micro Area",-6441,359,139,-323,-14,1813,3921
"G20340","Duncan, OK Micro Area",-4867,-48,-103,29,7,168,2614
"G20380","Dunn, NC Micro Area",3490.95,3435.56,30.78,466.15,135,3189.8,8027.61
"G20420","Durango, CO Micro Area",-180,1,355,111,5,600,3412
"G20460","Durant, OK Micro Area",-1293,92,1328,78,3,634,2809
"G20500","Durham-Chapel Hill, NC Metro Area",19274.12,7728.07999999999,1369.01,9067.56,-14,15831.08,31176.29
"G20540","Dyersburg, TN Micro Area",-2821,-115,10,26,-2,255,1113
"G20580","Eagle Pass, TX Micro Area",-32772,46,521,15,14,11361,24444
"G20620","East Liverpool-Salem, OH Micro Area",-8804.42,-283,117,24.01,-11,99,2893.72
"G20660","Easton, MD Micro Area",-2310,-580,81,66,-10,876,1621
"G20700","East Stroudsburg, PA Micro Area",-20203,2546,108,596,-5,4245,11198
"G20740","Eau Claire, WI Metro Area",2676.53,474,107,1305,57,830,5388
"G20780","Edwards, CO Micro Area",-4710,-8,214,233,36,234,7661
"G20820","Effingham, IL Micro Area",-832.02,76,20,101,-1,65,997
"G20900","El Campo, TX Micro Area",-6890,-141,133,33,-1,1525,5631
"G20940","El Centro, CA Metro Area",-55016,-1411,1207,206,0,18115,42073
"G20980","El Dorado, AR Micro Area",-3060.02,-992.33,7,72.99,2,289,1095.99
"G21020","Elizabeth City, NC Micro Area",-1202.89,-1770,86,-10,16,319,2396.07
"G21060","Elizabethtown, KY Metro Area",-1851,483,-32,177,83,848,6125
"G21120","Elk City, OK Micro Area",-1286,260,237,-47,10,59,1058
"G21140","Elkhart-Goshen, IN Metro Area",-12324,65,666,359,-3,7197,13528
"G21220","Elko, NV Micro Area",-1535,145,230,142,21,1224,4525
"G21260","Ellensburg, WA Micro Area",-65.0299999999988,38,145,121,36,691,2456
"G21300","Elmira, NY Metro Area",-8308,-513,7,375,-5,398,3364
"G21340","El Paso, TX Metro Area",-343252,4190,4330,3789,886,104504,290563
"G21380","Emporia, KS Micro Area",-4729,-182,36,-208,2,1108,2244
"G21420","Enid, OK Micro Area",-5510,-64,202,118,1840,1327,4353
"G21460","Enterprise-Ozark, AL Micro Area",-4057,963,-106,402,-31,646,4775
"G21500","Erie, PA Metro Area",-24838,429,-89,3303,-30,1418,10117
"G21540","Escanaba, MI Micro Area",-1434,18,-25,10,1,86,1178
"G21580","Espanola, NM Micro Area",-6909.02,2,482.02,86,0,-2731,9199
"G21640","Eufaula, AL-GA Micro Area",-1963,-1227,11,20,-28,152,523
"G21660","Eugene-Springfield, OR Metro Area",-1490.95000000001,1291,604,1297.99,246,5179.01,24128.98
"G21700","Eureka-Arcata-Fortuna, CA Micro Area",-11825,374,755,671,103,2779,8983
"G21740","Evanston, WY Micro Area",-1507.01,11,23,53,-9,4,757
"G21780","Evansville, IN-KY Metro Area",-16223,1579,95,1250,579,1964,12157
"G21820","Fairbanks, AK Metro Area",-9207.89,-409,675.81,513,208,790.97,5498.99
"G21860","Fairmont, MN Micro Area",-1781,54,17,-2,0,252,645
"G21900","Fairmont, WV Micro Area",-2648,9,32,-26,37,80,2303
"G21980","Fallon, NV Micro Area",-1689.99,65.01,45,15.01,42,316,1846.01
"G22020","Fargo, ND-MN Metro Area",14766,11883,1131,2471,48,1537,9230
"G22060","Faribault-Northfield, MN Micro Area",-4638,2314,156,250,-30,1865,3038
"G22100","Farmington, MO Micro Area",-1240,-117,-34,159,-11,278,2528
"G22140","Farmington, NM Metro Area",-16632,-42,2380.98,432,-3,-1045,6526
"G22180","Fayetteville, NC Metro Area",-22415.48,11494.87,-20.8799999999992,2346.09,325,6867.76,21738.35
"G22220","Fayetteville-Springdale-Rogers, AR-MO Metro Area",21507.43,4878.98,2491.97,8911.98,7476,13374,48186.18
"G22260","Fergus Falls, MN Micro Area",-169.709999999999,426,44,63,-17,571,1861
"G22280","Fernley, NV Micro Area",648.989999999998,112.99,82,254.99,66,944,5145.99
"G22300","Findlay, OH Micro Area",-3238,273,-18,139,19,266,2697
"G22340","Fitzgerald, GA Micro Area",-1338,-80,36,51,-1,272,748
"G22380","Flagstaff, AZ Metro Area",360.839999999997,331.86,-489.139999999999,827.14,98,665.11,8850.73
"G22420","Flint, MI Metro Area",-28138.03,-8213,-507,209,43,1764.97,15261.97
"G22500","Florence, SC Metro Area",-9624.00999999999,-2369,-60,743,45,674,4989
"G22520","Florence-Muscle Shoals, AL Metro Area",-3129,504,33,288,-13,967,5004
"G22540","Fond du Lac, WI Metro Area",-4044,1111,35,108,14,1452,3845
"G22580","Forest City, NC Micro Area",-5399.28,-948.97,53,53,19,474.01,2406.14
"G22620","Forrest City, AR Micro Area",-2950.32,-2107.92,-83,-9,-1,-196.99,179.03
"G22660","Fort Collins-Loveland, CO Metro Area",24728,1315,672,2738,101,4067,25815
"G22700","Fort Dodge, IA Micro Area",-2987,363,64,57,7,262,1220
"G22780","Fort Leonard Wood, MO Micro Area",-1953,338,37,489,112,228,2430
"G22800","Fort Madison-Keokuk, IA-MO Micro Area",-3849,-204,4,-54,-3,62,1232
"G22820","Fort Morgan, CO Micro Area",-3176,167,167,17,-19,502,3294
