GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADRWE001,NAME_M,ADRWM001
"G25860","2011-2015","US",,,,,,,,,,,,,,,,"Hickory-Lenoir-Morganton, NC Metro Area","25860",,,,,,,,,,,,,,,,,"31000US25860",,,"Hickory-Lenoir-Morganton, NC Metro Area",121000,"Hickory-Lenoir-Morganton, NC Metro Area",1756
"G25880","2011-2015","US",,,,,,,,,,,,,,,,"Hillsdale, MI Micro Area","25880",,,,,,,,,,,,,,,,,"31000US25880",,,"Hillsdale, MI Micro Area",98700,"Hillsdale, MI Micro Area",3123
"G25900","2011-2015","US",,,,,,,,,,,,,,,,"Hilo, HI Micro Area","25900",,,,,,,,,,,,,,,,,"31000US25900",,,"Hilo, HI Micro Area",301700,"Hilo, HI Micro Area",8056
"G25940","2011-2015","US",,,,,,,,,,,,,,,,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area","25940",,,,,,,,,,,,,,,,,"31000US25940",,,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",253000,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",6655
"G25980","2011-2015","US",,,,,,,,,,,,,,,,"Hinesville, GA Metro Area","25980",,,,,,,,,,,,,,,,,"31000US25980",,,"Hinesville, GA Metro Area",120100,"Hinesville, GA Metro Area",5487
"G26020","2011-2015","US",,,,,,,,,,,,,,,,"Hobbs, NM Micro Area","26020",,,,,,,,,,,,,,,,,"31000US26020",,,"Hobbs, NM Micro Area",108600,"Hobbs, NM Micro Area",4062
"G26090","2011-2015","US",,,,,,,,,,,,,,,,"Holland, MI Micro Area","26090",,,,,,,,,,,,,,,,,"31000US26090",,,"Holland, MI Micro Area",140400,"Holland, MI Micro Area",2515
"G26140","2011-2015","US",,,,,,,,,,,,,,,,"Homosassa Springs, FL Metro Area","26140",,,,,,,,,,,,,,,,,"31000US26140",,,"Homosassa Springs, FL Metro Area",112300,"Homosassa Springs, FL Metro Area",3540
"G26220","2011-2015","US",,,,,,,,,,,,,,,,"Hood River, OR Micro Area","26220",,,,,,,,,,,,,,,,,"31000US26220",,,"Hood River, OR Micro Area",321300,"Hood River, OR Micro Area",13969
"G26300","2011-2015","US",,,,,,,,,,,,,,,,"Hot Springs, AR Metro Area","26300",,,,,,,,,,,,,,,,,"31000US26300",,,"Hot Springs, AR Metro Area",130700,"Hot Springs, AR Metro Area",5465
