GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JTIE001,NAME_M,JTIM001
"G42700","2006-2010","US",,,,,,,,,,,,,,,,"Sebring, FL Micro Area","42700",,,,,,,,,,,,,,,,"31000US42700",,,"Sebring, FL Micro Area",122000,"Sebring, FL Micro Area",3955
"G42740","2006-2010","US",,,,,,,,,,,,,,,,"Sedalia, MO Micro Area","42740",,,,,,,,,,,,,,,,"31000US42740",,,"Sedalia, MO Micro Area",93200,"Sedalia, MO Micro Area",3586
"G42780","2006-2010","US",,,,,,,,,,,,,,,,"Selinsgrove, PA Micro Area","42780",,,,,,,,,,,,,,,,"31000US42780",,,"Selinsgrove, PA Micro Area",122900,"Selinsgrove, PA Micro Area",3232
"G42820","2006-2010","US",,,,,,,,,,,,,,,,"Selma, AL Micro Area","42820",,,,,,,,,,,,,,,,"31000US42820",,,"Selma, AL Micro Area",70300,"Selma, AL Micro Area",3525
"G42860","2006-2010","US",,,,,,,,,,,,,,,,"Seneca, SC Micro Area","42860",,,,,,,,,,,,,,,,"31000US42860",,,"Seneca, SC Micro Area",126700,"Seneca, SC Micro Area",5398
"G42900","2006-2010","US",,,,,,,,,,,,,,,,"Seneca Falls, NY Micro Area","42900",,,,,,,,,,,,,,,,"31000US42900",,,"Seneca Falls, NY Micro Area",88900,"Seneca Falls, NY Micro Area",2709
"G42940","2006-2010","US",,,,,,,,,,,,,,,,"Sevierville, TN Micro Area","42940",,,,,,,,,,,,,,,,"31000US42940",,,"Sevierville, TN Micro Area",155500,"Sevierville, TN Micro Area",4629
"G42980","2006-2010","US",,,,,,,,,,,,,,,,"Seymour, IN Micro Area","42980",,,,,,,,,,,,,,,,"31000US42980",,,"Seymour, IN Micro Area",113700,"Seymour, IN Micro Area",4049
"G43060","2006-2010","US",,,,,,,,,,,,,,,,"Shawnee, OK Micro Area","43060",,,,,,,,,,,,,,,,"31000US43060",,,"Shawnee, OK Micro Area",89300,"Shawnee, OK Micro Area",2477
"G43100","2006-2010","US",,,,,,,,,,,,,,,,"Sheboygan, WI Metro Area","43100",,,,,,,,,,,,,,,,"31000US43100",,,"Sheboygan, WI Metro Area",151100,"Sheboygan, WI Metro Area",2060
"G43140","2006-2010","US",,,,,,,,,,,,,,,,"Shelby, NC Micro Area","43140",,,,,,,,,,,,,,,,"31000US43140",,,"Shelby, NC Micro Area",103300,"Shelby, NC Micro Area",3026
"G43180","2006-2010","US",,,,,,,,,,,,,,,,"Shelbyville, TN Micro Area","43180",,,,,,,,,,,,,,,,"31000US43180",,,"Shelbyville, TN Micro Area",114400,"Shelbyville, TN Micro Area",4994
"G43220","2006-2010","US",,,,,,,,,,,,,,,,"Shelton, WA Micro Area","43220",,,,,,,,,,,,,,,,"31000US43220",,,"Shelton, WA Micro Area",216000,"Shelton, WA Micro Area",7224
"G43260","2006-2010","US",,,,,,,,,,,,,,,,"Sheridan, WY Micro Area","43260",,,,,,,,,,,,,,,,"31000US43260",,,"Sheridan, WY Micro Area",211900,"Sheridan, WY Micro Area",13159
"G43300","2006-2010","US",,,,,,,,,,,,,,,,"Sherman-Denison, TX Metro Area","43300",,,,,,,,,,,,,,,,"31000US43300",,,"Sherman-Denison, TX Metro Area",99600,"Sherman-Denison, TX Metro Area",2770
"G43320","2006-2010","US",,,,,,,,,,,,,,,,"Show Low, AZ Micro Area","43320",,,,,,,,,,,,,,,,"31000US43320",,,"Show Low, AZ Micro Area",134300,"Show Low, AZ Micro Area",6582
"G43340","2006-2010","US",,,,,,,,,,,,,,,,"Shreveport-Bossier City, LA Metro Area","43340",,,,,,,,,,,,,,,,"31000US43340",,,"Shreveport-Bossier City, LA Metro Area",115500,"Shreveport-Bossier City, LA Metro Area",2298
"G43380","2006-2010","US",,,,,,,,,,,,,,,,"Sidney, OH Micro Area","43380",,,,,,,,,,,,,,,,"31000US43380",,,"Sidney, OH Micro Area",124500,"Sidney, OH Micro Area",4211
"G43420","2006-2010","US",,,,,,,,,,,,,,,,"Sierra Vista-Douglas, AZ Micro Area","43420",,,,,,,,,,,,,,,,"31000US43420",,,"Sierra Vista-Douglas, AZ Micro Area",154900,"Sierra Vista-Douglas, AZ Micro Area",4066
"G43460","2006-2010","US",,,,,,,,,,,,,,,,"Sikeston, MO Micro Area","43460",,,,,,,,,,,,,,,,"31000US43460",,,"Sikeston, MO Micro Area",95000,"Sikeston, MO Micro Area",3332
"G43500","2006-2010","US",,,,,,,,,,,,,,,,"Silver City, NM Micro Area","43500",,,,,,,,,,,,,,,,"31000US43500",,,"Silver City, NM Micro Area",125000,"Silver City, NM Micro Area",9161
"G43540","2006-2010","US",,,,,,,,,,,,,,,,"Silverthorne, CO Micro Area","43540",,,,,,,,,,,,,,,,"31000US43540",,,"Silverthorne, CO Micro Area",465700,"Silverthorne, CO Micro Area",20496
"G43580","2006-2010","US",,,,,,,,,,,,,,,,"Sioux City, IA-NE-SD Metro Area","43580",,,,,,,,,,,,,,,,"31000US43580",,,"Sioux City, IA-NE-SD Metro Area",96200,"Sioux City, IA-NE-SD Metro Area",1298
"G43620","2006-2010","US",,,,,,,,,,,,,,,,"Sioux Falls, SD Metro Area","43620",,,,,,,,,,,,,,,,"31000US43620",,,"Sioux Falls, SD Metro Area",146700,"Sioux Falls, SD Metro Area",1532
"G43660","2006-2010","US",,,,,,,,,,,,,,,,"Snyder, TX Micro Area","43660",,,,,,,,,,,,,,,,"31000US43660",,,"Snyder, TX Micro Area",71100,"Snyder, TX Micro Area",5688
"G43700","2006-2010","US",,,,,,,,,,,,,,,,"Somerset, KY Micro Area","43700",,,,,,,,,,,,,,,,"31000US43700",,,"Somerset, KY Micro Area",95500,"Somerset, KY Micro Area",4426
"G43740","2006-2010","US",,,,,,,,,,,,,,,,"Somerset, PA Micro Area","43740",,,,,,,,,,,,,,,,"31000US43740",,,"Somerset, PA Micro Area",92200,"Somerset, PA Micro Area",2609
"G43780","2006-2010","US",,,,,,,,,,,,,,,,"South Bend-Mishawaka, IN-MI Metro Area","43780",,,,,,,,,,,,,,,,"31000US43780",,,"South Bend-Mishawaka, IN-MI Metro Area",119200,"South Bend-Mishawaka, IN-MI Metro Area",1570
"G43860","2006-2010","US",,,,,,,,,,,,,,,,"Southern Pines-Pinehurst, NC Micro Area","43860",,,,,,,,,,,,,,,,"31000US43860",,,"Southern Pines-Pinehurst, NC Micro Area",186900,"Southern Pines-Pinehurst, NC Micro Area",6432
"G43900","2006-2010","US",,,,,,,,,,,,,,,,"Spartanburg, SC Metro Area","43900",,,,,,,,,,,,,,,,"31000US43900",,,"Spartanburg, SC Metro Area",116300,"Spartanburg, SC Metro Area",1999
